Year;Specimen;PathogenName;AntibioticName;Iso3;CountryTerritoryArea;WHORegionName;InterpretableAST;Resistant;ResistancePercentage
2023;Urinary tract;Klebsiella pneumoniae;Ertapenem;MMR;Myanmar;South-East Asia Region;29;21;72.413793103
2023;Urinary tract;Klebsiella pneumoniae;Imipenem;MMR;Myanmar;South-East Asia Region;168;70;41.666666667
2023;Urinary tract;Klebsiella pneumoniae;Levofloxacin;MMR;Myanmar;South-East Asia Region;132;95;71.96969697
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;MMR;Myanmar;South-East Asia Region;163;71;43.558282209
2023;Urinary tract;Klebsiella pneumoniae;Cefotaxime;MUS;Mauritius;African Region;818;521;63.69193154
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;MUS;Mauritius;African Region;572;481;84.090909091
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;MUS;Mauritius;African Region;573;498;86.910994764
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;MUS;Mauritius;African Region;818;479;58.557457213
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;MUS;Mauritius;African Region;818;484;59.168704156
2023;Urinary tract;Klebsiella pneumoniae;Colistin;MUS;Mauritius;African Region;573;18;3.141361257
2023;Urinary tract;Klebsiella pneumoniae;Imipenem;MUS;Mauritius;African Region;573;169;29.493891798
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;MUS;Mauritius;African Region;573;178;31.064572426
2023;Urinary tract;Klebsiella pneumoniae;Cefepime;MWI;Malawi;African Region;17;16;94.117647059
2023;Urinary tract;Klebsiella pneumoniae;Cefotaxime;MWI;Malawi;African Region;19;16;84.210526316
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;MWI;Malawi;African Region;31;24;77.419354839
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;MWI;Malawi;African Region;60;48;80.0
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;MWI;Malawi;African Region;69;38;55.072463768
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;MWI;Malawi;African Region;18;14;77.777777778
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;MWI;Malawi;African Region;68;7;10.294117647
2023;Urinary tract;Klebsiella pneumoniae;Cefepime;MYS;Malaysia;Western Pacific Region;7399;1945;26.287336127
2023;Urinary tract;Klebsiella pneumoniae;Cefotaxime;MYS;Malaysia;Western Pacific Region;7306;2450;33.534081577
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;MYS;Malaysia;Western Pacific Region;7590;2201;28.998682477
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;MYS;Malaysia;Western Pacific Region;1438;506;35.187760779
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;MYS;Malaysia;Western Pacific Region;7420;2041;27.506738544
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;MYS;Malaysia;Western Pacific Region;6972;2225;31.913367757
2023;Urinary tract;Klebsiella pneumoniae;Colistin;MYS;Malaysia;Western Pacific Region;132;3;2.272727273
2023;Urinary tract;Klebsiella pneumoniae;Ertapenem;MYS;Malaysia;Western Pacific Region;7331;533;7.270495158
2023;Urinary tract;Klebsiella pneumoniae;Imipenem;MYS;Malaysia;Western Pacific Region;7264;547;7.530286344
2023;Urinary tract;Klebsiella pneumoniae;Levofloxacin;MYS;Malaysia;Western Pacific Region;34;9;26.470588235
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;MYS;Malaysia;Western Pacific Region;7245;565;7.798481712
2023;Urinary tract;Klebsiella pneumoniae;Cefepime;NAM;Namibia;African Region;60;3;5.0
2023;Urinary tract;Klebsiella pneumoniae;Cefotaxime;NAM;Namibia;African Region;59;3;5.084745763
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;NAM;Namibia;African Region;69;3;4.347826087
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;NAM;Namibia;African Region;101;27;26.732673267
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;NAM;Namibia;African Region;150;24;16.0
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;NAM;Namibia;African Region;164;67;40.853658537
2023;Urinary tract;Klebsiella pneumoniae;Ertapenem;NAM;Namibia;African Region;62;4;6.451612903
2023;Urinary tract;Klebsiella pneumoniae;Imipenem;NAM;Namibia;African Region;113;2;1.769911504
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;NAM;Namibia;African Region;63;3;4.761904762
